Title,Year
The Cabin in the Woods,
The Cabinet of Dr. Caligari,
The Cable Guy,
The Chamber,1996
The China Syndrome,
The Christmas Ornament,
The Claim,
The Client,
The Color of Money,
The Color Purple,
The Commitments,
The Connection,
The Conversation,
"The Cook, the Thief, His Wife & Her Lover",
The Cowboys,
The Craft,
The Crush,
The Crying Game,
The Curse of Frankenstein,
The Dark Crystal,
The Dark Knight,
The Dark Knight Rises,
The Dawn Patrol,
The Day of the Beast,1995
The Day the Earth Stood Still,
The Dead Zone,
The Death of Stalin,
The Decent,
The Decline of Western Civilization,
The Decline of Western Civilization III,
The Devil and Daniel Johnston,
The Devil Inside,
The Devil Wears Prada,
The Devil’s Rejects,
The Devils,
The Devil's Advocate,
The Devil's Honey,
The Dirt,
The Dreamers,
The Empire Strikes Back,
The End of the Tour,
The Eternal Daughter,
The Exorcist,
The Exorcist III,
The Fabelmans,
The Faculty,
The Farewell,
The Fast and the Furious,
The Fast and the Furious: Tokyo Drift,
The Favourite,
The Fifth Element,
The Firm,
The First Purge,
The First Wives Club,
The Florida Project,
The Fly,
The Fog,
The Forty-Year-Old Version,
The Fugitive,
The Full Monty,
The Funhouse,
The Game,
The General,
The Getaway,
The Gift,
The Gingerbread Man,
The Gleaners and I,
The Golden Voyage of Sinbad,
The Good Dinosaur,
"The Good, the Bad and the Ugly",
The Goonies,
The Grand Budapest Hotel,
The Great Dictator,
The Great Muppet Caper,
The Great Silence,
The Green Knight,
The Grey Fox,
The Grifters,
The Grudge (2020),
The Hand of God,
The Handmaiden,
The Happening,
The Hateful Eight,
The Heartbreak Kid (1972),
The Hidden Fortress,
The Hills Have Eyes (2006),
The History Boys,
The Hitcher (2007),
The Hole,
The Holiday,
The Host,
The Hours,
The House Bunny,
The House by the Cemetery,
The House on the Edge of the Park,
The House with Laughing Windows,
The Hudsucker Proxy,
The Hunger,
The Hustler,
The Ice Harvest,
The Immortal Story,
The Incredible Hulk,
The Incredible Shrinking Man,
The Incredibles,
The Innocents,
The Inspection,
The Intern,
The Invisible Man,
The Invitation,
The Irishman,
The Iron Giant,
The Kentucky Fried Movie,
The Killer,
The Killing,
The Killing of a Sacred Deer,
The Lady Eve,
The Lady from Shanghai,
The Ladykillers,
The Land Before Time,
The Last Airbender,
The Last American Virgin,
The Last Black Man in San Francisco,
The Last Boy Scout,
The Last Exorcism,
The Last House on the Left,
The Last of Sheila,
The Last Seduction,
The Last Starfighter,
The Last Unicorn,
The Laundromat,
The Lawnmower Man,
The Legend of Drunken Master,
The LEGO Batman Movie,
The Life and Times of Judge Roy Bean,
The Lighthouse,
The Limey,
The Lion in Winter,
The Lion King,
The Little Mermaid,
The Little Prince,
The Little Rascals,
The Living Daylights,
The Lobster,
The Long Goodbye,
The Long Kiss Goodnight,
The Lookout,
The Lord of the Rings: The Fellowship of the Ring,
The Lost Daughter,
The Lost World: Jurassic Park,
The Luck of the Irish,
The Madness of King George,
The Magic Christian,
The Magnificent Ambersons,
The Maltese Falcon,
The Man From Laramie,
The Man Who Shot Liberty Valance,
The Man Who Wasn't There,
The Man with the Golden Gun,
The Manchurian Candidate,
The Mangler,
The Martian,
The Master,
The Matrix,
The Merchant of Venice (2004),
The Mighty Ducks,
The Miracle of Morgan's Creek,
The Mirror Crack'd,
The Mist,
The Mistletoe Promise,
The Mitchells vs. The Machines,
The Money Pit,
The Monster Squad,
The Mosquito Coast,
The Mummy,
The Muppet Christmas Carol,
The Muppet Movie,
The Muppets Take Manhattan,
The Music Man,
The Naked Gun: From the Files of Police Squad!,
The Naked Spur,
The Natural,
The Net,
The NeverEnding Story,
The New Mutants,
The New World,
The Night House,
The Night of the Hunter,
The Notebook,
The Nun's Story,
The Object of My Affection,
The Old Dark House,
The Old Man & the Gun,
The Omega Man,
The Omen,
The Onion Movie,
The Other Side of the Mirror: Bob Dylan Live at the Newport Folk Festival,
The Others,
The Ox-Bow Incident,
The Pacifier,
The Palm Beach Story,
The Parallax View,
The Pelican Brief,
The People Under the Stairs,
The Perks of Being a Wallflower,
The Petrified Forest,
The Philadelphia Story,
The Place Beyond the Pines,
The Plague Dogs,
The Player,
The Polar Express,
The Pool,
The Post,
The Power of the Dog,
The Predator,
The Prestige,
The Princess Bride,
The Princess Diaries,
The Private Life of Sherlock Holmes,
The Proposition,
The Public Enemy,
The Quatermass Xperiment,
The Queen,
The Quick and the Dead,
The Rainmaker,
The Red Shoes,
The Remains of the Day,
The Report,
The Return of the Living Dead,
The Right Stuff,
The Ring,
The Rock,
The Rocky Horror Picture Show,
The Room,
The Roommate,
The Royal Tenenbaums,
The Rules of the Game,
"The Russians Are Coming, the Russians Are Coming",
The Sandlot,
The Scorpion King,
The Scout,
The Serpent and the Rainbow,
The Seventh Seal,
The Shining,
The Silence of the Lambs,
The Sisters Brothers,
The Sixth Sense,
The Skin I Live In,
The Social Network,
The Sound of Music,
The Souvenir,
The Souvenir: Part II,
The Spanish Prisoner,
The Spy Who Came in from the Cold,
The Spy Who Dumped Me,
The Spy Who Loved Me,
The Stepford Wives,
The Sting,
The Story of Robin Hood and His Merrie Men,
The Sugarland Express,
The Sure Thing,
The Sword in the Stone,
The Talented Mr. Ripley,
The Taming of the Shrew (1967),
The Ten,
The Ten Commandments,
The Terminal,
The Terminator,
The Texas Chainsaw Massacre,
The Texas Chainsaw Massacre 2,
The Thin Man,
The Thing,
The Thing (2011),
The Thirteenth Year,
The Times of Harvey Milk,
The Train,
The Tree of Life,
The Truman Show,
The Trust,
The Turning,
The TV Set,
The Twilight Saga: Breaking Dawn - Part 2,
The Untouchables,
The Usual Suspects,
The Valley of Gwangi,
The Verdict,
The Village,
The Villainess,
The Virgin Spring,
The Virgin Suicides,
The Visit,
The Warriors,
The Watermelon Woman,
The Whole Nine Yards,
The Wicker Man,
The Wicker Man (2006),
The Wild and Wonderful Whites of West Virginia,
The Wild Bunch,
The Witch,
The Wizard,1989
The Wolf Man,
The Wolverine,
The Woman King,
The Wonderful Ice Cream Suit,
The World is Not Enough,
The Worst Person in the World,2021
The Wrestler,
The Young Girls of Rochefort,
Theatre of Blood,
There Will Be Blood,
They Live,
Thief,
This Is Spinal Tap,
This Property Is Condemned,
Thor,
Thor: Love and Thunder,
Thor: Ragnarok,
Thor: The Dark World,
Three Colours: Red,
Three Days of the Condor,
Three Identical Strangers,
Three O’Clock High,
Throne of Blood,
Thunderball,
THX 1138,
"Tick, Tick... Boom!",
Tigerland,
Tigers Are Not Afraid,
Time,
Time of the Wolf,
Timecop,
Timecrimes,
Titanic,
Titus,
To Kill a Mockingbird,
"To Wong Foo, Thanks for Everything! Julie Newmar",
Tokyo Gore Police,
Tomb Raider,
Tombstone,
Tommy,
Tommy Boy,
Tomorrow Never Dies,
Tongues Untied,
Toni Erdmann,
Toolbox Murders,
Top Gun,
Torso,
Total Recall,
Touch of Evil,
Toy Story,
Toy Story 2,
Toy Story 3,
Toy Story 4,
Trading Christmas,
Trading Places,
Transformers,
Treasure Island,
Tremors,
Tremors 2: Aftershocks,
Tremors 3: Back to Perfection,
Tremors 4: The Legend Begins,
Tremors 5: Bloodlines,
Tremors: A Cold Day in Hell,
Tremors: Shrieker Island,
Triangle,
Triangle of Sadness,
Trick ’r Treat,
Trick or Treat,
Tromeo & Juliet,
Tron,1982
True Grit (2010),
True History of the Kelly Gang,
True Lies,
True Romance,
Twelfth Night (1996),
Twin Peaks: Fire Walk with Me,
Twister,
Two for the Road,
Two Turtle Doves,
U.S. Marshals,
Ulzana’s Raid,
Unbreakable,
Under the Skin,
Underground,1995
Underwater,
Unforgiven,
Unfriended,
Unlawful Entry,
Unsane,
Unstoppable,
Up,
Up in the Air,
Urban Legend,
Urban Legends: Final Cut,
Us,2019
Vagabond,
Valley Girl,
Vampire's Kiss,
Victor/Victoria,1982
Visiting Hours,
Volver,
Vox Lux,
Wait Until Dark,
Waiting to Exhale,
Waitress,
Walking on Sunshine,
WALL-E,
War Horse,
War of the God Monsters,
War of the Worlds,
WarGames,
Wasp Network,
Waves,
Wayne's World,
Weekend,
Wendy and Lucy,
We're No Angels,
Werewolf by Night,
Werewolf of London,
West Side Story,
West Side Story (2021),
Wet Hot American Summer,
What a Way to Go!,
When the Wind Blows,
Where the Red Fern Grows,
White Christmas,
White God,
White Men Can't Jump,
White Palace,
Who Framed Roger Rabbit,
Why Did I Get Married?,
Wide Awake,
Widows,
Wild at Heart,
Wild Things,
Wildlife,
Willard (2003),
Willow,
Winchester '73,
Window Wonderland,
Winter's Child,
Witness,
Witness for the Prosecution,
Wolf Creek,
Women on the Verge of a Nervous Breakdown,
Women Talking,
Working Girl,
World's Greatest Dad,
X2,
Xanadu,
X-Men,
X-Men Origins: Wolverine,
X-Men: Apocalypse,
X-Men: Days of Future Past,
X-Men: First Class,
X-Men: The Last Stand,
XXx,
Y Tu Mamá También,2001
Yellow Submarine, 
Yojimbo,
You Can Count on Me,
You Only Live Twice,
Young Adult,
Young Frankenstein,
Young Guns,
Young@Heart,
You're Next,
Zack Snyder's Justice League,
Zandalee,
Zenon: Girl of the 21st Century,
Zero Day,
Zodiac,
Zola,
Zombie Flesh Eaters,
Zombieland,
